Run Name,MAML (time),MAML (memory),ES (time),ES (memory)
128,0.4267651906666667,16.9169921875,0.31181485366666567,16.5185546875
256,0.44666751699999924,18.8115234375,0.35487520300000597,17.2763671875
512,0.43633461933332757,26.3505859375,0.31785390766665006,20.2919921875
1024,0.4372456323333343,56.4287109375,0.3889272736666764,32.3232421875
2048,0.623338143333342,176.5849609375,0.3926237663333154,80.3857421875
